from_stop_id,to_stop_id,transfer_type,min_transfer_time
4474,451,2,120
4474,1775,2,120
4474,10873,2,120
4491,4461,2,120
4491,4491,0,
4491,4660,0,
2761,2833,2,120
2761,2717,2,120
2761,2671,2,120
2761,2414,0,
2761,2523,2,120
2761,1173,2,120
2761,2016,2,120
2761,10203,2,120
2761,8049,0,
2761,8068,0,
2823,3345,2,120
2823,2752,2,120
2823,2778,2,120
2823,1471,2,120
2823,1400,2,120
2823,1556,2,120
2823,8750,0,
2823,8759,0,
2847,2941,0,
2847,2971,0,
3117,2959,0,
3117,2948,0,
8659,8679,2,120
8659,8680,2,120
8659,10021,2,120
8659,8748,0,
8659,8757,0,
8703,9510,0,
8703,9511,0,
3108,2959,0,
3108,2948,0,
1471,3345,2,120
1471,2752,2,120
1471,2823,2,120
1471,8750,0,
1471,8759,0,
2766,1477,0,
2766,1393,0,
2766,1858,0,
8140,1387,2,120
8140,1482,2,120
8140,1709,2,120
8140,963,0,
8140,10415,2,120
1482,2742,0,
1482,1387,0,
1482,1482,0,
1482,1709,2,120
1482,963,0,
1482,10415,2,120
1400,3345,2,120
1400,2752,2,120
1400,2778,2,120
1400,2823,2,120
1400,1556,2,120
1400,8750,0,
1400,8759,0,
8552,8561,2,120
8552,8575,2,120
8552,8578,0,
8552,8577,0,
3927,3394,2,120
3927,3334,2,120
3927,3533,2,120
3927,3769,2,120
3927,3204,2,120
3927,3053,2,120
3927,3195,2,120
3927,3906,2,120
3927,3067,2,120
3927,8021,2,120
3927,8998,2,120
3927,8032,2,120
3927,7643,2,120
3487,3476,0,
3904,3394,2,120
3904,3334,2,120
3904,3533,2,120
3904,3769,2,120
3904,3204,2,120
3904,3053,2,120
3904,3195,2,120
3904,3906,2,120
3904,3067,2,120
3904,8021,2,120
3904,8998,2,120
3904,8032,2,120
3904,7643,2,120
10399,9129,2,120
10399,4881,0,
10399,8672,0,
10399,10399,0,
10399,3430,2,120
10399,10400,0,
10399,97,0,
10399,8041,2,360
3430,9076,2,120
3430,9129,2,300
3430,4881,2,120
3430,10399,2,120
3430,3430,2,120
3430,10400,2,60
3430,97,0,
11535,96,2,360
11535,78,2,360
11535,11535,0,
11535,8041,2,360
11535,8035,2,600
938,2736,2,300
938,938,0,
938,35,2,360
938,8994,2,300
938,8019,2,480
938,8035,2,480
8679,8659,2,120
8679,8680,2,120
8679,10021,2,120
8679,8748,0,
8679,8757,0,
3024,2955,0,
3024,2917,0,
1870,2938,0,
1870,8802,0,
2836,3029,0,
2836,1875,0,
2938,2938,0,
2863,8897,0,
2622,3094,0,
2622,2528,0,
451,4067,2,120
451,452,2,120
451,4143,2,120
451,4119,2,120
451,1761,2,120
451,4381,2,120
451,4474,2,120
451,1775,2,120
451,10873,2,120
4010,4010,0,
4018,10882,0,
4018,4228,0,
4018,4053,2,360
2928,2941,0,
2928,2971,0,
1709,2742,2,120
1709,1387,2,120
1709,1482,2,120
1709,1709,2,120
1709,963,0,
1709,10415,2,120
1708,1711,0,
1865,10092,0,
3129,3029,0,
3129,1875,0,
11529,2738,0,
11529,942,2,300
11529,524,0,
11529,232,2,300
11529,1283,0,
10960,10958,0,
10170,9907,0,
10170,9915,2,300
10170,9906,0,
10170,9912,0,
10170,9913,0,
10170,9914,0,
10170,9908,0,
10170,9910,0,
10170,9911,0,
10170,9917,0,
10170,10432,0,
10170,9909,0,
10170,9916,0,
11260,11260,0,
11260,11258,0,
11260,11227,2,420
11260,11221,2,480
11260,10360,0,
11260,11277,2,300
11260,11276,2,300
405,405,0,
405,2081,0,
405,4879,2,480
405,4887,2,480
405,584,0,
407,4887,2,360
11429,11427,0,
11429,98,2,480
11429,26,2,360
11429,11,2,300
11429,25,0,
11532,193,2,300
11523,9129,0,
11523,11523,0,
11523,11522,2,300
11523,11272,2,300
11523,4495,2,300
11525,11525,2,180
11525,8041,2,360
11616,96,0,
11616,9076,0,
11616,11438,2,360
11616,77,0,
11527,11438,0,
1013,98,2,600
1013,26,2,480
1013,11359,2,360
1013,10424,2,300
1016,9129,2,120
1016,1016,0,
1016,193,2,300
1016,11272,2,420
1016,8041,2,420
1016,4495,2,300
35,2736,2,420
35,35,0,
35,40,2,300
35,9069,2,300
35,8994,0,
35,8019,2,480
35,8035,2,480
414,2737,2,300
40,35,0,
40,8039,2,300
40,11302,2,360
40,8994,0,
40,8019,2,480
40,8035,2,480
4882,11272,2,420
4882,4495,2,360
11542,26,0,
11542,11,0,
11526,96,0,
11526,9129,0,
11526,11616,0,
11526,11526,2,120
11526,97,0,
11526,77,0,
11524,9129,0,
11524,11524,0,
11524,11272,2,300
11524,8041,2,360
11524,4495,2,300
11522,193,2,300
11427,26,2,360
11427,11,2,300
11427,25,0,
2081,405,0,
2081,584,0,
11258,11258,0,
11258,10360,0,
11258,11276,2,360
11517,11507,0,
11517,11517,0,
11517,11506,0,
11517,8053,0,
11517,8064,0,
11517,9948,0,
11517,10743,0,
11517,10742,0,
2264,2325,0,
2264,2263,0,
2264,11204,0,
2264,2512,0,
2264,2264,0,
2264,2444,0,
2266,2323,0,
2467,2467,0,
2472,1451,0,
3023,2477,2,120
3023,2630,0,
3023,2692,2,120
3023,10429,2,120
3023,8051,0,
3023,8066,0,
2489,2527,0,
2414,2833,2,120
2414,2717,2,120
2414,2671,2,120
2414,2761,2,120
2414,2523,2,120
2414,1173,2,120
2414,2016,2,120
2414,10203,2,120
2414,8049,0,
2414,8068,0,
2523,2833,2,120
2523,2717,2,120
2523,2671,2,120
2523,2761,2,120
2523,2414,0,
2523,2523,2,120
2523,1173,2,120
2523,2016,2,120
2523,10203,2,120
2523,8049,0,
2523,8068,0,
1039,1039,0,
1039,1108,0,
1039,1596,0,
1039,1514,0,
1042,11023,0,
1042,11013,0,
1045,565,0,
1045,11422,0,
11423,11454,0,
329,9080,0,
217,545,0,
217,8640,0,
217,9136,0,
217,330,0,
4879,405,2,480
4879,542,2,360
4879,584,2,600
1055,902,0,
1055,915,0,
8907,8753,0,
8907,8762,0,
1061,1544,0,
1061,1570,0,
1046,2743,0,
1046,959,0,
1046,968,0,
10400,4881,2,60
10400,10399,2,60
10400,3430,2,60
10400,97,2,60
10400,8035,2,360
545,217,0,
545,545,0,
545,9055,0,
545,8640,0,
545,9136,0,
545,330,0,
569,60,0,
569,110,0,
361,361,0,
361,9530,0,
361,317,0,
361,674,0,
361,318,0,
9915,9912,2,480
9915,9913,2,480
9915,9914,2,480
9915,9910,2,480
9915,10432,2,300
9915,9909,2,480
9915,11665,2,360
79,2736,2,300
235,235,0,
235,8043,0,
235,8074,0,
10814,10363,0,
10814,10352,0,
1143,2120,0,
1143,9052,0,
1143,8622,0,
1143,779,0,
1143,857,0,
1143,888,0,
1143,887,0,
1147,785,2,300
1151,1355,0,
1151,1307,2,300
1152,1575,0,
1153,1153,0,
666,666,0,
666,1198,0,
666,704,0,
666,665,0,
668,668,0,
668,701,0,
668,669,0,
668,11623,0,
1156,1156,0,
1156,1071,0,
1156,1070,0,
1168,2540,0,
1169,1169,0,
1170,1170,0,
2428,2800,0,
2630,2477,2,120
2630,3023,0,
2630,2692,2,120
2630,2799,2,120
2630,10429,0,
2630,8051,0,
2630,8066,0,
2639,2261,0,
2639,2328,0,
2189,3624,0,
2189,3536,0,
11506,11507,0,
11506,11517,0,
11506,11506,0,
11506,11516,2,120
11506,8053,0,
11506,8064,0,
11506,9948,0,
11506,10743,0,
11506,10742,0,
11516,11507,0,
11516,11517,0,
11516,11506,2,120
11516,11516,0,
11516,8053,0,
11516,8064,0,
11516,9948,0,
11516,10743,0,
11516,10742,0,
2646,3624,0,
2646,3536,0,
2648,2261,0,
2648,2328,0,
333,333,0,
333,467,0,
333,334,0,
880,2118,0,
880,9054,0,
486,486,0,
486,11088,0,
486,11087,2,360
486,417,0,
486,11278,2,300
11227,11260,2,480
11227,10360,2,480
488,10467,2,360
488,10513,2,360
192,4883,2,480
192,11528,2,360
192,192,0,
11262,826,2,300
2146,2240,2,300
11252,11251,0,
11252,11287,0,
11252,11286,0,
11251,11251,0,
11251,11287,0,
11251,11286,0,
758,1980,0,
758,2054,0,
761,811,0,
454,195,0,
460,1589,0,
460,1522,0,
463,11021,0,
463,11014,0,
467,467,0,
8656,8690,2,120
8656,8688,2,120
8656,8685,2,120
8656,8676,2,120
8656,8672,0,
8656,8689,2,120
8656,8657,2,120
8656,8687,2,120
8656,8746,0,
8656,8755,0,
8656,8691,0,
9530,361,0,
9530,317,2,300
9530,674,0,
9530,318,0,
322,322,0,
322,60,0,
322,110,0,
11454,1102,0,
9055,217,0,
9055,9136,0,
9055,330,0,
2118,881,2,300
2118,933,0,
11357,486,0,
11357,11352,0,
11357,417,0,
11357,11279,2,300
11357,11278,2,300
2120,1143,0,
2120,8622,0,
2120,887,0,
2120,176,0,
2120,240,0,
10620,782,0,
9051,1361,0,
9051,1301,0,
8916,11588,0,
8916,8913,2,300
8916,1231,2,300
8916,8044,2,360
8916,8763,2,360
8916,8073,2,360
11588,11588,0,
11588,972,0,
11588,1231,2,300
11588,8044,2,300
11588,8763,2,300
11588,8073,2,300
898,728,0,
898,690,0,
902,1055,0,
902,1092,0,
906,1697,0,
906,11095,0,
1754,1754,0,
1754,2110,0,
1754,2123,0,
